sessionId,userId,gameModeName,gameTime,userType,entryTime,exitTime,duration,roomName,roomType,roomSequence,combatRoomNumber,dungeonRoomNumber,eventType,weaponName,total_damage,damage,ability_pyrosphere,ability_minigun,ability_machinegun,ability_bomb_blackhole,ability_bomb,ability_drone,ability_chakram,ability_smg_gleamtwins,ability_kusarigama,ability_chain_lightning,ability_ice_cube,ability_renew,ability_healing_mark,enemyKills,PartyMembers
01JJG2SJHGP5SH8YCE63W5HGVB,01HV7F7SXV5C4TKGQEBYR4Q0B2,,,,2025-01-26 01:14:45.500000 UTC,2025-01-26 01:17:23.500000 UTC,158,DCCombatEmpty_Lush,combat_combat,0.0,1,1,died,arms_ac0001,4665.0,3327.0,,,,,,,,,1338.0,,,,,4,1
01JJG3EFDZKNNVXCHD9Q0ASDR0,01JJG2ET3RQ598CFWDMN2N2G4V,,,,2025-01-26 01:26:10.500000 UTC,2025-01-26 01:29:05.500000 UTC,175,DCCombatEmpty_Lush,combat_combat,0.0,1,1,died,arms_ab0001,2963.0,2678.0,,,,,285.0,,,,,,,,,5,3
01JJG3JXHY4T3P8HT3ECY5MX51,01JHF0279BQ392DY10F5729ZAK,,,,2025-01-26 01:28:36.500000 UTC,2025-01-26 01:47:56.499000 UTC,1159,DCCombatEmpty_Lush,combat_combat,0.0,1,1,extraction,arms_hammer_chronosteel,292342.0,104248.0,,,,,,,17699.0,138181.0,32214.0,,,,,18,4
01JJG483FBJDJC3B9HN816EV6W,01HVXEJ1KKHCAJC0542Q7VAN70,,,,2025-01-26 01:40:09.500000 UTC,2025-01-26 01:42:25.499000 UTC,135,DCCombatEmpty_Lush,combat_combat,0.0,1,1,died,arms_ac0002,5071.0,5071.0,,,,,,,,,,,,,,0,1
01JJG25YTXNWSJYHQ0FH0GXASD,01HV7VWSGKAPNZXNHC8QF6NHRT,,,,2025-01-26 01:04:03.499000 UTC,2025-01-26 01:27:37.499000 UTC,1414,DCCombatEmpty_Lush,combat_combat,0.0,1,1,died,arms_sword_ferrox,136635.0,92289.0,35103.0,,,,,,,,,,9243.0,,,20,3
01JJG2ZAED5KFBBYH7NPDY78G2,01HV7P2RS9VH7V74BV3FMTYH98,,,,2025-01-26 01:17:54.499000 UTC,2025-01-26 01:31:41.500000 UTC,827,DCCombatEmpty_Lush,combat_combat,0.0,1,1,extraction,arms_sword_ferrox,101329.0,14513.0,20487.0,,22386.0,,,,43943.0,,,,,,,0,7
01JJG2ZAED5KFBBYH7NPDY78G2,01JFNJSS1Z3CJVKDFXCHMPD44P,,,,2025-01-26 01:17:54.499000 UTC,2025-01-26 01:31:41.500000 UTC,827,DCCombatEmpty_Lush,combat_combat,0.0,1,1,extraction,arms_ac0002,34170.0,7126.0,18593.0,,,,,,8451.0,,,,,,,2,7
01JJG2ZAED5KFBBYH7NPDY78G2,01JGP9EBHRESHMMGHRWX6VK5Z1,,,,2025-01-26 01:17:54.499000 UTC,2025-01-26 01:31:41.500000 UTC,827,DCCombatEmpty_Lush,combat_combat,0.0,1,1,extraction,arms_sword_chronosteel,27152.0,12429.0,12886.0,,,,1837.0,,,,,,,,,9,7
01JJG3V9XPSQQZJZMQYTVP3H8C,01JJDGSNXTG40QWJ6F5CXTE5DY,,,,2025-01-26 01:33:10.500000 UTC,2025-01-26 01:33:50.500000 UTC,40,DCCombatEmpty_Lush,combat_combat,0.0,1,1,died,arms_sword_tutorial,105.0,105.0,,,,,,,,,,,,,,0,1
01JJG1ZM3E4FHDTTEG5CWD0BT1,01JFB3SVWM9YEAESRE416P9SKF,,,,2025-01-26 01:00:35.500000 UTC,2025-01-26 01:17:16.499000 UTC,1000,DCCombatEmpty_Lush,combat_combat,0.0,1,1,extraction,arms_sword_tritium,67180.0,13344.0,,,10412.0,,8530.0,,34894.0,,,,,,,2,8
01JJG3T3ET0P45ZVBB89DQ67W3,01JJDGSNXTG40QWJ6F5CXTE5DY,,,,2025-01-26 01:32:31.500000 UTC,2025-01-26 01:32:48.500000 UTC,17,DCCombatEmpty_Lush,combat_combat,0.0,1,1,died,arms_sword_tutorial,27.0,27.0,,,,,,,,,,,,,,0,1
01JJG46W05DH7WA295YW3NSFW0,01JFA9NV9FXVT7HGJ26XJMYBJS,,,,2025-01-26 01:39:29.500000 UTC,2025-01-26 01:42:42.500000 UTC,193,DCCombatEmpty_Lush,combat_combat,0.0,1,1,abandoned,arms_sword_tritium,52586.0,22569.0,23818.0,,,,,,,6199.0,,,,,,4,1
01JJG25YTXNWSJYHQ0FH0GXASD,01JGSX3NQVS1YXDESH5FY4W07P,,,,2025-01-26 01:04:03.499000 UTC,2025-01-26 01:27:37.499000 UTC,1414,DCCombatEmpty_Lush,combat_combat,0.0,1,1,died,arms_aa0002,400.0,400.0,,,,,,,,,,,,,,0,3
01JJG3EFDZKNNVXCHD9Q0ASDR0,01JJG2F0V03FTD330B5G92NSNF,,,,2025-01-26 01:26:10.500000 UTC,2025-01-26 01:29:05.500000 UTC,175,DCCombatEmpty_Lush,combat_combat,0.0,1,1,died,arms_ab0001,827.0,672.0,,155.0,,,,,,,,,,,,2,3
01JJG3EFDZKNNVXCHD9Q0ASDR0,01JJG2F3YHZH8EVBBFGR607Q42,,,,2025-01-26 01:26:10.500000 UTC,2025-01-26 01:29:05.500000 UTC,175,DCCombatEmpty_Lush,combat_combat,0.0,1,1,died,arms_ab0002,124.0,124.0,,,,,,,,,,,,,,0,3
01JJG58ZCPEHDT31HZ8YP9JN38,01HVXEJ1KKHCAJC0542Q7VAN70,,,,2025-01-26 01:58:08.499000 UTC,2025-01-26 01:58:24.499000 UTC,16,DCCombatEmpty_Lush,combat_combat,0.0,1,1,died,arms_ac0002,640.0,640.0,,,,,,,,,,,,,,0,1
01JJG5A5MP9Q89K9AS2RH5XAPA,01HVXEJ1KKHCAJC0542Q7VAN70,,,,2025-01-26 01:58:46.499000 UTC,2025-01-26 02:00:47.499000 UTC,121,DCCombatEmpty_Lush,combat_combat,0.0,1,1,died,arms_ac0002,18180.0,9536.0,,,,,,,8644.0,,,,,,,2,1
01JJG1ZM3E4FHDTTEG5CWD0BT1,01JFNJSS1Z3CJVKDFXCHMPD44P,,,,2025-01-26 01:00:35.500000 UTC,2025-01-26 01:17:16.499000 UTC,1000,DCCombatEmpty_Lush,combat_combat,0.0,1,1,extraction,arms_ac0002,123371.0,14385.0,19129.0,,14904.0,,,,74953.0,,,,,,,2,8
