sessionId,userId,gameModeName,gameTime,userType,entryTime,exitTime,duration,roomName,roomType,roomSequence,combatRoomNumber,dungeonRoomNumber,eventType,weaponName,total_damage,damage,ability_pyrosphere,ability_minigun,ability_machinegun,ability_bomb_blackhole,ability_bomb,ability_drone,ability_chakram,ability_smg_gleamtwins,ability_kusarigama,ability_chain_lightning,ability_ice_cube,ability_renew,ability_healing_mark,enemyKills,PartyMembers
01JJFDK0XHEBE81ACS1NW02R0H,01JGP9EBHRESHMMGHRWX6VK5Z1,,,,2025-01-25 19:04:11.500000 UTC,2025-01-25 19:33:27.499000 UTC,1755,DCCombatEmpty_Lush,combat_combat,0.0,1,1,extraction,arms_sword_chronosteel,252851.0,80551.0,60123.0,,,,,,100645.0,,,,11532.0,,,19,6
01JJFE14YVESBKP8XZ9SA36FSN,01HV7GY6HDDTQG9EYJ6MCRHTF6,,,,2025-01-25 19:11:53.500000 UTC,2025-01-25 19:25:36.499000 UTC,822,DCCombatEmpty_Lush,combat_combat,0.0,1,1,extraction,arms_axe_ferrox,140031.0,80824.0,,,,,,,59207.0,,,,,,,9,2
01JJFE9H9RTT2C3FYYN6VANJVH,01HW3JC9SHP0NYPGKSFJ7JGCST,,,,2025-01-25 19:16:28.499000 UTC,2025-01-25 19:32:29.500000 UTC,961,DCCombatEmpty_Lush,combat_combat,0.0,1,1,extraction,arms_hammer_chronosteel,17427.0,15850.0,,,1577.0,,,,,,,,,,,1,7
01JJFEE57J95G5XY4X83TH2YGX,01HV7X0JR2X8PJ5Q9CE2YS0ADV,,,,2025-01-25 19:19:00.500000 UTC,2025-01-25 19:35:41.499000 UTC,1000,DCCombatEmpty_Lush,combat_combat,0.0,1,1,extraction,arms_axe_demon,153795.0,92091.0,,,,,,,60536.0,,,,1168.0,,,1,5
01JJFEWJXZ2WVJXCZTDDWNKJV7,01JFA9NV9FXVT7HGJ26XJMYBJS,,,,2025-01-25 19:26:53.500000 UTC,2025-01-25 19:49:41.500000 UTC,1368,DCCombatEmpty_Lush,combat_combat,0.0,1,1,extraction,arms_sword_tritium,242718.0,90582.0,118192.0,33944.0,,,,,,,,,,,,19,3
01JJFEWJXZ2WVJXCZTDDWNKJV7,01JFNJSS1Z3CJVKDFXCHMPD44P,,,,2025-01-25 19:26:53.500000 UTC,2025-01-25 19:49:41.500000 UTC,1368,DCCombatEmpty_Lush,combat_combat,0.0,1,1,extraction,arms_ac0002,153694.0,55478.0,56782.0,,,,,,,,41434.0,,,,,11,3
01JJFF7CAGKJBWYYYQWEMYXPP1,01JC9CQV0Q5N0X512Y5Q4F51FR,,,,2025-01-25 19:32:47.499000 UTC,2025-01-25 19:45:31.500000 UTC,764,DCCombatEmpty_Lush,combat_combat,0.0,1,1,extraction,arms_greatsword_tritium,74405.0,54308.0,19869.0,,,,,228.0,,,,,,,,18,5
01JJFFZ5HRSYZAM3NP6WF6J7NN,01HW3JC9SHP0NYPGKSFJ7JGCST,,,,2025-01-25 19:45:46.499000 UTC,2025-01-25 19:58:05.499000 UTC,739,DCCombatEmpty_Lush,combat_combat,0.0,1,1,extraction,arms_hammer_chronosteel,112818.0,44278.0,,,,510.0,,,68030.0,,,,,,,3,5
01JJFG6JXWZHERJ8F6GN405HPD,01HV9SK9ZPM76W38DEAHGGK0J4,,,,2025-01-25 19:49:49.500000 UTC,2025-01-25 19:58:46.499000 UTC,536,DCCombatEmpty_Lush,combat_combat,0.0,1,1,died,arms_sword_ferrox,343707.0,243989.0,,46618.0,50898.0,,,,,,,,2202.0,,,6,1
01JJFDDENJHCYANR5CRCE9CZ0H,01HV7EFBYARF800C2XFNMJJZ42,,,,2025-01-25 19:01:08.499000 UTC,2025-01-25 19:15:49.500000 UTC,881,DCCombatEmpty_Lush,combat_combat,0.0,1,1,extraction,arms_sword_ferrox,100379.0,5336.0,,,13538.0,,,,73916.0,,7589.0,,,,,0,7
01JJFDK86DFCFM4T8RSEJXY69K,01HV7EQE0CYA1ZWRENMNYKACCA,,,,2025-01-25 19:04:18.500000 UTC,2025-01-25 19:16:23.500000 UTC,725,DCCombatEmpty_Lush,combat_combat,0.0,1,1,abandoned,arms_greatsword_thornweave,51416.0,41699.0,,,,,,,,,,,9717.0,,,21,3
01JJFEE57J95G5XY4X83TH2YGX,01HXJ4CQWP68GBW0694WX0QRTY,,,,2025-01-25 19:19:00.500000 UTC,2025-01-25 19:35:41.499000 UTC,1000,DCCombatEmpty_Lush,combat_combat,0.0,1,1,extraction,arms_axe_demon,112169.0,61466.0,,,24405.0,,,,,2543.0,23755.0,,,,,5,5
01JJFFSWG96BD9MC0776XBY7V8,01JHDFBQJ575KVF36AJH86R4QW,,,,2025-01-25 19:42:52.499000 UTC,2025-01-25 20:07:53.500000 UTC,1501,DCCombatEmpty_Lush,combat_combat,0.0,1,1,extraction,arms_sword_chronosteel,2497.0,2497.0,,,,,,,,,,,,,,1,5
01JJFGJZ1E06H2NDZGZ83YBG49,01HXJ4CQWP68GBW0694WX0QRTY,,,,2025-01-25 19:56:35.499000 UTC,2025-01-25 20:10:13.500000 UTC,818,DCCombatEmpty_Lush,combat_combat,0.0,1,1,extraction,arms_axe_demon,173939.0,122743.0,,,,,,33747.0,,,,,17449.0,,,14,2
