Date,Event,"Nov 30 2023, 12:00AM - Feb 28 2024, 5:40PM"
2024-02-08,A. Volume,0.9496
2024-02-08,B. Account Tweet [Sum of impression_count],3099
2024-02-09,A. Volume,1.8
2024-02-09,B. Account Tweet [Sum of impression_count],0
2024-02-10,A. Volume,3.720499
2024-02-10,B. Account Tweet [Sum of impression_count],0
2024-02-11,A. Volume,2.15818
2024-02-11,B. Account Tweet [Sum of impression_count],0
2024-02-12,A. Volume,0.143
2024-02-12,B. Account Tweet [Sum of impression_count],11202
2024-02-13,A. Volume,0.1449
2024-02-13,B. Account Tweet [Sum of impression_count],0
2024-02-14,A. Volume,1.381596
2024-02-14,B. Account Tweet [Sum of impression_count],0
2024-02-15,A. Volume,0.2901
2024-02-15,B. Account Tweet [Sum of impression_count],0
2024-02-16,A. Volume,0.95225
2024-02-16,B. Account Tweet [Sum of impression_count],0
2024-02-17,A. Volume,5.93613
2024-02-17,B. Account Tweet [Sum of impression_count],0
2024-02-18,A. Volume,1.06098
2024-02-18,B. Account Tweet [Sum of impression_count],0
2024-02-19,A. Volume,0.734838
2024-02-19,B. Account Tweet [Sum of impression_count],0
2024-02-20,A. Volume,1.282034
2024-02-20,B. Account Tweet [Sum of impression_count],0
2024-02-21,A. Volume,0.8294
2024-02-21,B. Account Tweet [Sum of impression_count],0
2024-02-22,A. Volume,0.531898
2024-02-22,B. Account Tweet [Sum of impression_count],11665
2024-02-23,A. Volume,2.062685
2024-02-23,B. Account Tweet [Sum of impression_count],9147
2024-02-24,A. Volume,0.3241
2024-02-24,B. Account Tweet [Sum of impression_count],0
2024-02-25,A. Volume,0.136
2024-02-25,B. Account Tweet [Sum of impression_count],0
2024-02-26,A. Volume,0
2024-02-26,B. Account Tweet [Sum of impression_count],2189
2024-02-27,A. Volume,0
2024-02-27,B. Account Tweet [Sum of impression_count],0
2024-02-28,A. Volume,0
2024-02-28,B. Account Tweet [Sum of impression_count],0
