Date,Metric,"Nov 30 2023, 12:00AM - Feb 28 2024, 5:43PM"
2024-01-13,B. Dune Analytics [Sum of ethPrice],2552.675799
2024-01-13,Formula,0.9761666535372849
2024-01-14,A. Volume,0.975
2024-01-14,B. Dune Analytics [Sum of ethPrice],2541.839549
2024-01-14,Formula,0.9720227720841299
2024-01-15,A. Volume,0.919898
2024-01-15,B. Dune Analytics [Sum of ethPrice],2522.646875
2024-01-15,Formula,0.9646833173996175
2024-01-16,A. Volume,12.149976
2024-01-16,B. Dune Analytics [Sum of ethPrice],2548.144653
2024-01-16,Formula,0.9744339017208412
2024-01-17,A. Volume,2.320499
2024-01-17,B. Dune Analytics [Sum of ethPrice],2552.496111
2024-01-17,Formula,0.9760979391969407
2024-01-18,A. Volume,2.0504
2024-01-18,B. Dune Analytics [Sum of ethPrice],2509.242083
2024-01-18,Formula,0.959557201912046
2024-01-19,A. Volume,0.905798
2024-01-19,B. Dune Analytics [Sum of ethPrice],2474.443194
2024-01-19,Formula,0.9462497873804971
2024-01-20,A. Volume,1.4359
2024-01-20,B. Dune Analytics [Sum of ethPrice],2474.813403
2024-01-20,Formula,0.9463913586998088
2024-01-21,A. Volume,0.9007
2024-01-21,B. Dune Analytics [Sum of ethPrice],2475.900451
2024-01-21,Formula,0.94680705583174
2024-01-22,A. Volume,0.4498
2024-01-22,B. Dune Analytics [Sum of ethPrice],2391.179306
2024-01-22,Formula,0.9144089124282982
2024-01-23,A. Volume,0.8461
2024-01-23,B. Dune Analytics [Sum of ethPrice],2260.085868
2024-01-23,Formula,0.8642775785850861
2024-01-24,A. Volume,1.94
2024-01-24,B. Dune Analytics [Sum of ethPrice],2230.504201
2024-01-24,Formula,0.8529652776290632
2024-01-25,A. Volume,2.8448
2024-01-25,B. Dune Analytics [Sum of ethPrice],2217.3175
2024-01-25,Formula,0.8479225621414914
2024-01-26,A. Volume,0.199
2024-01-26,B. Dune Analytics [Sum of ethPrice],2241.731736
2024-01-26,Formula,0.8572587900573615
